,date,chemical,monitor,reading,wind_direction,wind_speed,cum_sum,anomaly_count,dup_chem,dup_all,square_root,cube
0,2016-04-01 00:00:00,AGOC-3A,1,0.160462,190.5,4.0,0.160462,,,,0.40057708371797807,0.0041315841517311274
1,2016-04-01 01:00:00,AGOC-3A,1,0.0656058,194.7666667,4.333333333,0.22606779999999999,,,,0.2561362918447911,0.0002823753010845472
2,2016-04-01 02:00:00,AGOC-3A,1,0.20397,199.0333333,4.666666667,0.4300378,,,,0.45163037984617466,0.008485919110773002
3,2016-04-01 03:00:00,AGOC-3A,1,0.0895294,203.3,5.0,0.5195672,,,,0.2992146386793266,0.000717624111156072
4,2016-04-01 04:00:00,AGOC-3A,1,0.618398,202.56666669999998,5.066666667,1.1379652,,,,0.786382858409312,0.2364853430000608
5,2016-04-01 05:00:00,AGOC-3A,1,0.294556,201.83333330000002,5.133333333,1.4325212,,,,0.5427301355185651,0.025556632077831612
6,2016-04-01 06:00:00,AGOC-3A,1,0.210431,201.1,5.2,1.6429522,,,,0.45872758800839525,0.009318138409492992
7,2016-04-01 07:00:00,AGOC-3A,1,0.27182399999999995,202.3666667,4.833333333,1.9147762,,,,0.5213674328149006,0.020084609718964214
8,2016-04-01 08:00:00,AGOC-3A,1,0.0343286,203.6333333,4.466666667,1.9491048,,,,0.1852797884282039,4.045463403347766e-05
9,2016-04-01 09:00:00,AGOC-3A,1,0.270683,204.9,4.1,2.2197877999999998,,,,0.52027204422302,0.01983275027470199
10,2016-04-01 10:00:00,AGOC-3A,1,0.025183599999999997,205.6,3.933333333,2.2449714,,,,0.15869341511228496,1.597178436096505e-05
11,2016-04-01 11:00:00,AGOC-3A,1,0.06696410000000001,206.3,3.766666667,2.3119354999999997,,,,0.2587742259190432,0.0003002797937045419
12,2016-04-01 12:00:00,AGOC-3A,1,0.469625,207.0,3.6,2.7815605,,,,0.6852919086053767,0.10357468572851564
13,2016-04-01 13:00:00,AGOC-3A,1,0.271808,207.0333333,3.4,3.0533685,,,,0.5213520883241958,0.020081063289946112
14,2016-04-01 14:00:00,AGOC-3A,1,0.0306601,207.06666669999998,3.2,3.0840286,,,,0.1751002569958137,2.88217735075998e-05
15,2016-04-01 15:00:00,AGOC-3A,1,0.266658,207.1,3.0,3.3506866,,,,0.5163893879622237,0.018961114134162314
16,2016-04-01 16:00:00,AGOC-3A,1,0.271123,219.33333330000002,2.633333333,3.6218095999999997,,,,0.5206947282237453,0.019929623030737868
