,date,chemical,monitor,reading,wind_direction,wind_speed
0,2016-04-01 00:00:00,Appluimonia,4,0.378015,190.5,4.0
1,2016-04-01 00:00:00,Methylosmolene,4,0.196198,190.5,4.0
2,2016-04-01 00:00:00,AGOC-3A,4,0.0814906,190.5,4.0
3,2016-04-01 00:00:00,Chlorodinine,4,0.0047395399999999996,190.5,4.0
4,2016-04-01 01:00:00,Chlorodinine,4,0.304023,194.76666666666668,4.333333333333333
5,2016-04-01 01:00:00,Methylosmolene,4,0.280295,194.76666666666668,4.333333333333333
6,2016-04-01 01:00:00,Appluimonia,4,0.130407,194.76666666666668,4.333333333333333
7,2016-04-01 01:00:00,AGOC-3A,4,0.0827827,194.76666666666668,4.333333333333333
8,2016-04-01 02:00:00,Chlorodinine,4,0.43293600000000004,199.03333333333333,4.666666666666667
9,2016-04-01 02:00:00,Appluimonia,4,0.396515,199.03333333333333,4.666666666666667
10,2016-04-01 02:00:00,AGOC-3A,4,0.038904799999999996,199.03333333333333,4.666666666666667
11,2016-04-01 02:00:00,Methylosmolene,4,0.0347547,199.03333333333333,4.666666666666667
12,2016-04-01 03:00:00,Chlorodinine,4,0.321624,203.3,5.0
13,2016-04-01 03:00:00,Appluimonia,4,0.26598,203.3,5.0
14,2016-04-01 03:00:00,Methylosmolene,4,0.246773,203.3,5.0
15,2016-04-01 03:00:00,AGOC-3A,4,0.15624000000000002,203.3,5.0
16,2016-04-01 04:00:00,Chlorodinine,4,0.390987,202.56666666666666,5.066666666666666
17,2016-04-01 04:00:00,AGOC-3A,4,0.375753,202.56666666666666,5.066666666666666
18,2016-04-01 04:00:00,Methylosmolene,4,0.28192300000000003,202.56666666666666,5.066666666666666
19,2016-04-01 04:00:00,Appluimonia,4,0.11978799999999999,202.56666666666666,5.066666666666666
20,2016-04-01 05:00:00,Chlorodinine,4,0.446033,201.83333333333334,5.133333333333334
21,2016-04-01 05:00:00,Methylosmolene,4,0.28065999999999997,201.83333333333334,5.133333333333334
22,2016-04-01 05:00:00,Appluimonia,4,0.271384,201.83333333333334,5.133333333333334
23,2016-04-01 05:00:00,AGOC-3A,4,0.00241546,201.83333333333334,5.133333333333334
24,2016-04-01 06:00:00,Methylosmolene,4,0.329487,201.1,5.2
25,2016-04-01 06:00:00,Chlorodinine,4,0.24913500000000002,201.1,5.2
26,2016-04-01 06:00:00,AGOC-3A,4,0.2396,201.1,5.2
27,2016-04-01 06:00:00,Appluimonia,4,0.104948,201.1,5.2
28,2016-04-01 07:00:00,Methylosmolene,4,0.502477,202.36666666666667,4.833333333333333
29,2016-04-01 07:00:00,AGOC-3A,4,0.170572,202.36666666666667,4.833333333333333
30,2016-04-01 07:00:00,Appluimonia,4,0.025392,202.36666666666667,4.833333333333333
31,2016-04-01 07:00:00,Chlorodinine,4,0.014218699999999999,202.36666666666667,4.833333333333333
32,2016-04-01 08:00:00,Appluimonia,4,0.340732,203.63333333333333,4.466666666666667
33,2016-04-01 08:00:00,Methylosmolene,4,0.165458,203.63333333333333,4.466666666666667
34,2016-04-01 08:00:00,AGOC-3A,4,0.1416,203.63333333333333,4.466666666666667
35,2016-04-01 08:00:00,Chlorodinine,4,0.112167,203.63333333333333,4.466666666666667
36,2016-04-01 09:00:00,Methylosmolene,4,0.522087,204.9,4.1
37,2016-04-01 09:00:00,Chlorodinine,4,0.288103,204.9,4.1
38,2016-04-01 09:00:00,AGOC-3A,4,0.201125,204.9,4.1
39,2016-04-01 09:00:00,Appluimonia,4,0.041054,204.9,4.1
40,2016-04-01 10:00:00,Appluimonia,4,0.384311,205.6,3.933333333333333
41,2016-04-01 10:00:00,AGOC-3A,4,0.162566,205.6,3.933333333333333
42,2016-04-01 10:00:00,Methylosmolene,4,0.141456,205.6,3.933333333333333
43,2016-04-01 10:00:00,Chlorodinine,4,0.12809399999999999,205.6,3.933333333333333
44,2016-04-01 11:00:00,Methylosmolene,4,0.259342,206.3,3.7666666666666666
45,2016-04-01 11:00:00,Chlorodinine,4,0.234759,206.3,3.7666666666666666
46,2016-04-01 11:00:00,AGOC-3A,4,0.171654,206.3,3.7666666666666666
47,2016-04-01 11:00:00,Appluimonia,4,0.036502,206.3,3.7666666666666666
48,2016-04-01 12:00:00,Chlorodinine,4,0.496377,207.0,3.6
49,2016-04-01 12:00:00,Methylosmolene,4,0.26832700000000004,207.0,3.6
50,2016-04-01 12:00:00,Appluimonia,4,0.229907,207.0,3.6
51,2016-04-01 12:00:00,AGOC-3A,4,0.0969047,207.0,3.6
52,2016-04-01 13:00:00,Methylosmolene,4,0.42977,207.03333333333333,3.4
53,2016-04-01 13:00:00,AGOC-3A,4,0.41678899999999997,207.03333333333333,3.4
54,2016-04-01 13:00:00,Chlorodinine,4,0.271384,207.03333333333333,3.4
55,2016-04-01 13:00:00,Appluimonia,4,0.102078,207.03333333333333,3.4
56,2016-04-01 14:00:00,Methylosmolene,4,0.7445909999999999,207.06666666666666,3.2
57,2016-04-01 14:00:00,Appluimonia,4,0.100419,207.06666666666666,3.2
58,2016-04-01 14:00:00,Chlorodinine,4,0.09656079999999999,207.06666666666666,3.2
59,2016-04-01 14:00:00,AGOC-3A,4,0.055161600000000005,207.06666666666666,3.2
60,2016-04-01 15:00:00,Appluimonia,4,0.438771,207.1,3.0
61,2016-04-01 15:00:00,Methylosmolene,4,0.430541,207.1,3.0
62,2016-04-01 15:00:00,AGOC-3A,4,0.257714,207.1,3.0
63,2016-04-01 15:00:00,Chlorodinine,4,0.103919,207.1,3.0
64,2016-04-01 16:00:00,Appluimonia,4,0.301195,219.33333333333334,2.6333333333333333
65,2016-04-01 16:00:00,Chlorodinine,4,0.233952,219.33333333333334,2.6333333333333333
66,2016-04-01 16:00:00,AGOC-3A,4,0.140705,219.33333333333334,2.6333333333333333
67,2016-04-01 16:00:00,Methylosmolene,4,0.0402671,219.33333333333334,2.6333333333333333
68,2016-04-01 17:00:00,Methylosmolene,4,0.405594,231.56666666666666,2.2666666666666666
69,2016-04-01 17:00:00,AGOC-3A,4,0.317199,231.56666666666666,2.2666666666666666
70,2016-04-01 17:00:00,Chlorodinine,4,0.313531,231.56666666666666,2.2666666666666666
71,2016-04-01 17:00:00,Appluimonia,4,0.144516,231.56666666666666,2.2666666666666666
72,2016-04-01 18:00:00,AGOC-3A,4,0.104811,243.8,1.9
