RowLabels,AGOC-3A1,AGOC-3A2,AGOC-3A3,AGOC-3A4,AGOC-3A5,AGOC-3A6,AGOC-3A7,AGOC-3A8,AGOC-3A9,AGOC-3AAll,Appluimonia1,Appluimonia2,Appluimonia3,Appluimonia4,Appluimonia5,Appluimonia6,Appluimonia7,Appluimonia8,Appluimonia9,AppluimoniaAll,Chlorodinine1,Chlorodinine2,Chlorodinine3,Chlorodinine4,Chlorodinine5,Chlorodinine6,Chlorodinine7,Chlorodinine8,Chlorodinine9,ChlorodinineAll,Methylosmolene1,Methylosmolene2,Methylosmolene3,Methylosmolene4,Methylosmolene5,Methylosmolene6,Methylosmolene7,Methylosmolene8,Methylosmolene9,MethylosmoleneAll,GrandTotal
2016-04-01 00:00:00,0.160462,0.228558,0.722303,0.0814906,0.15486,0.242289,0.497282,0.438723,0.105787,2.6317546,0.0030929,0.518521,0.130435,0.378015,0.0296967,0.458144,0.38494,0.502186,0.272886,2.6779166,0.382308,0.0115732,1.25917,0.00473954,0.239101,0.239455,0.943983,0.225446,0.197804,3.50357974,0.417423,0.110788,2.68382,0.196198,0.0226431,0.156771,2.63064,0.456104,0.144993,6.8193801,15.63263104
2016-04-01 01:00:00,0.0656058,0.452257,2.55736,0.0827827,0.301439,0.394667,0.261157,0.535,0.123042,4.7733105,0.00951907,0.152105,3.48407,0.130407,0.452317,0.168714,0.63253,0.565845,0.131138,5.72664507,0.325122,0.0777142,0.0842611,0.304023,0.163982,0.349223,1.26748,0.708372,0.345217,3.6253943,0.381961,0.225031,0.779529,0.280295,0.401722,0.18997,2.26404,0.272105,0.186488,4.981141,19.10649087
2016-04-01 02:00:00,0.20397,0.509981,2.39479,0.0389048,0.206771,0.318626,0.0304364,0.437709,0.0656916,4.2068798,0.0983349,0.645735,0.208529,0.396515,0.236313,0.381269,1.66118,0.188443,0.0430606,3.8593795,0.32639,0.689016,0.428891,0.432936,0.0659318,0.367956,0.608635,0.386579,0.165901,3.4722358,0.0378444,0.0704396,0.23958,0.0347547,0.0511753,0.474245,0.970838,0.244736,0.634746,2.758359,14.2968541
2016-04-01 03:00:00,0.0895294,0.280231,0.0585907,0.15624,0.242014,0.5182,0.405114,0.363091,0.198875,2.3118851,0.288575,0.596467,0.26131,0.26598,0.319679,0.45342,0.446928,0.471165,0.378197,3.481721,0.357711,0.0622761,0.376071,0.321624,0.0587969,0.364682,0.0144352,0.65151,0.51323,2.7203362,0.353672,0.124396,0.0347694,0.246773,0.300778,0.437154,0.0808523,0.69419,0.486087,2.7586717,11.272614
2016-04-01 04:00:00,0.618398,0.714903,0.51271,0.375753,0.371454,0.4967,0.856971,0.523747,0.25342,4.724056,0.33195,0.146269,0.636766,0.119788,0.246868,0.0296883,0.168924,0.129247,0.734143,2.5436433,0.117581,0.299912,1.1394,0.390987,0.033643,0.405011,1.03067,0.320612,0.127112,3.864928,0.284877,0.641762,0.667903,0.281923,0.476344,0.313513,0.312161,0.0899369,0.0559182,3.1243381,14.2569654
2016-04-01 05:00:00,0.294556,0.252217,0.69974,0.00241546,0.238353,0.209591,0.116403,1.03184,0.0318543,2.87696976,0.0388837,0.285482,0.664029,0.271384,0.147356,0.0518588,0.256853,0.421384,0.253563,2.3907935,0.108269,0.138576,2.79331,0.446033,0.168359,0.148461,0.512425,0.649797,0.378493,5.343723,0.989826,0.0203157,0.916534,0.28066,0.259023,0.36684,0.195448,0.00622426,0.367007,3.40187796,14.01336422
2016-04-01 06:00:00,0.210431,0.171442,0.822506,0.2396,0.0686394,0.537672,3.81396,0.348775,0.361752,6.5747774,0.0228912,0.678525,0.552638,0.104948,0.105537,0.78524,0.969027,0.225316,0.0848154,3.5289376,0.32179,0.524311,3.94462,0.249135,0.0278427,0.734936,0.0627053,0.681112,0.590046,7.136498,0.250966,0.378806,2.05302,0.329487,0.167723,0.126295,0.940167,0.673679,0.148385,5.068528,22.308741
2016-04-01 07:00:00,0.271824,0.0958847,4.78659,0.170572,0.155064,0.0231199,0.426199,1.02109,0.0320344,6.982378,0.0100301,0.638567,0.452319,0.025392,0.089142,0.874363,0.386387,0.421081,0.268262,3.1655431,0.188189,0.542413,3.35156,0.0142187,0.343747,0.544958,0.333749,0.946475,0.213374,6.4786837,0.072075,0.221445,0.375589,0.502477,0.386002,0.602402,0.0929588,0.0330591,0.268067,2.5540749,19.1806797
2016-04-01 08:00:00,0.0343286,0.285264,1.61156,0.1416,0.071417,0.545655,0.451286,0.0133735,0.0810158,3.2354999,0.366206,0.476664,2.10568,0.340732,0.246648,0.69624,0.521752,1.23009,0.419446,6.403458,0.380071,0.349802,3.83947,0.112167,0.306871,0.690937,0.202865,0.521053,0.331285,6.734521,0.292984,0.553491,0.917269,0.165458,0.177531,0.169993,0.129355,0.024255,0.263384,2.69372,19.0671989
2016-04-01 09:00:00,0.270683,0.201245,0.544795,0.201125,0.0455874,0.407047,0.639886,0.307569,0.230418,2.8483554,0.300466,0.586124,1.78909,0.041054,0.217195,0.274487,0.915939,0.451534,0.37218,4.948069,0.204093,0.71666,0.655028,0.288103,0.0700218,0.199124,0.659626,0.0948834,0.10603,2.9935692,0.0988394,0.474724,1.90111,0.522087,0.0419438,0.601663,0.714198,0.304597,0.126885,4.7860472,15.5760408
2016-04-01 10:00:00,0.0251836,0.200995,0.772321,0.162566,0.44956,0.565408,0.152753,0.24401,0.271139,2.8439356,0.268343,0.289997,0.332215,0.384311,0.326147,0.156522,0.657709,0.183642,0.304952,2.903838,0.374429,0.274667,0.572236,0.128094,0.192601,0.417886,0.483525,0.726825,0.057487,3.22775,0.457522,0.00298162,0.670043,0.141456,0.163966,0.786521,0.218184,0.756304,0.337672,3.53464962,12.51017322
2016-04-01 11:00:00,0.0669641,0.11802,0.967785,0.171654,0.18658,0.430635,0.0143858,0.0666572,0.502717,2.5253981,0.132435,0.150965,1.02831,0.036502,0.42455,0.404981,0.453267,0.78212,0.120384,3.533514,0.392052,0.229816,0.70332,0.234759,0.025848,0.559303,0.227113,0.16321,0.241334,2.776755,0.228423,0.242137,4.39846,0.259342,0.143529,0.29769,0.854138,0.87337,0.773302,8.070391,16.9060581
2016-04-01 12:00:00,0.469625,0.81394,0.165788,0.0969047,0.396962,0.0475963,0.435586,0.189639,0.0870258,2.7030668,0.032094,0.127155,0.399123,0.229907,0.0766411,0.387515,0.417883,0.555826,0.236189,2.4623331,0.233285,0.203687,0.833999,0.496377,0.346274,0.264588,0.672943,0.275282,0.192999,3.519434,0.357148,0.10236,2.97161,0.268327,0.208672,0.213574,1.9822,0.0784863,0.0730682,6.2554455,14.9402794
2016-04-01 13:00:00,0.271808,0.219576,0.129685,0.416789,0.0225215,0.484358,2.9472,0.170308,0.13544,4.7976855,0.24354,0.331087,0.453212,0.102078,0.107169,0.615335,0.829324,0.589898,0.0456287,3.3172717,0.235847,0.433455,1.90125,0.271384,0.0744315,0.356287,0.819536,0.885737,0.0159372,4.9938647,0.223932,0.0167204,1.52117,0.42977,0.00629568,0.384708,1.60229,0.742678,0.206465,5.13402908,18.24285098
2016-04-01 14:00:00,0.0306601,0.985069,2.06584,0.0551616,0.0458705,0.240171,0.329869,0.0140477,0.542312,4.3090009,0.187208,0.60598,1.68447,0.100419,0.239086,0.424518,0.397431,0.0813537,0.229613,3.9500787,0.440393,0.338016,0.986431,0.0965608,0.101092,0.378116,2.18663,0.440045,0.248804,5.2160878,0.283356,0.833012,0.19548,0.744591,0.281457,0.475952,0.0131358,0.787857,0.209022,3.8238628,17.2990302
2016-04-01 15:00:00,0.266658,0.62139,1.8144,0.257714,0.43167,0.589017,0.927829,0.531765,0.173323,5.613766,0.127849,0.203565,1.34866,0.438771,0.0582271,0.0323731,0.17735,0.447587,0.298941,3.1333232,0.0172048,0.0763918,0.280986,0.103919,0.126492,0.483222,0.262528,0.272041,0.148777,1.7715616,0.177346,0.837112,0.773566,0.430541,0.04561,0.153869,0.548344,0.0120941,0.333781,3.3122631,13.8309139
2016-04-01 16:00:00,0.271123,0.296002,1.13586,0.140705,7.052179,0.103715,0.717826,0.313985,2.09702,12.128415,0.453372,0.0335552,1.63558,0.301195,0.0176918,0.62637,0.23085,1.15018,0.402606,4.8514,0.299149,0.401661,1.14353,0.233952,0.263674,0.183871,0.374769,0.286071,0.212546,3.399223,0.0454476,0.0553067,0.296501,0.0402671,,0.476825,0.137954,0.327186,0.0958897,1.4753771,21.8544151
2016-04-01 17:00:00,0.176284,0.11176,3.77301,0.317199,0.299581,0.479549,0.195857,0.1864,0.256789,5.796429,0.0261086,0.142722,1.54654,0.144516,0.0014664,0.134493,2.9919,0.508395,0.621307,6.117448,0.519978,0.460334,1.07354,0.313531,1.28288,0.540517,0.516709,0.707549,0.371361,5.786399,0.240693,0.0419242,2.002,0.405594,0.483056,0.299951,0.0641491,0.902336,0.209819,4.6495223,22.3497983
2016-04-01 18:00:00,0.0986899,0.594371,2.04777,0.104811,0.628314,0.065808,0.0954296,0.217943,17.73057,21.5837065,0.705206,0.617361,0.464762,0.064684,0.136053,0.0844535,0.768281,0.0192309,0.245768,3.1057994,0.405464,0.354638,0.289879,0.0567176,0.191958,0.491844,0.474125,0.220958,0.49206,2.9776436,0.199028,0.0230869,2.41987,0.044605,0.345077,0.339361,0.554992,1.29304,,5.2190599,32.8862094
2016-04-01 19:00:00,0.0789502,0.511387,0.159529,0.139601,0.0497588,0.423562,2.2287,0.374478,0.0810708,4.0470368,0.320393,0.00660095,0.48644,0.0237058,0.219221,0.580485,0.0984389,0.439922,0.0599954,2.23520205,0.0420393,0.173896,1.83782,0.379155,0.122929,0.349918,1.89336,0.374754,0.346534,5.5204053,0.568544,0.808434,1.7403,0.234091,0.121417,0.631286,0.37237,0.543812,0.382772,5.403026,17.20567015
2016-04-01 20:00:00,0.491511,0.291975,4.42195,0.244434,0.431884,0.0391207,1.2087,0.546361,0.235318,7.9112537,0.0839435,0.114486,2.96486,0.294812,0.863043,0.39531,0.332273,0.302518,0.368791,5.7200365,0.257028,0.0334215,2.72895,0.179424,0.00935036,0.54456,0.388569,0.42123,0.236594,4.79912686,0.28476,0.284889,1.11615,0.429474,0.253722,0.235903,0.00780633,0.25033,0.269983,3.13301733,21.56343439
