RowLabels,AGOC-3A,Appluimonia,Chlorodinine,Methylosmolene,GrandTotal
2016-04-01 00:00:00,2.6317546,2.6779166,3.50357974,6.8193801,15.63263104
2016-04-01 01:00:00,4.7733105,5.72664507,3.6253943,4.981141,19.10649087
2016-04-01 02:00:00,4.2068798,3.8593795,3.4722358,2.758359,14.2968541
2016-04-01 03:00:00,2.3118851,3.481721,2.7203362,2.7586717,11.272614
2016-04-01 04:00:00,4.724056,2.5436433,3.864928,3.1243381,14.2569654
2016-04-01 05:00:00,2.87696976,2.3907935,5.343723,3.40187796,14.01336422
2016-04-01 06:00:00,6.5747774,3.5289376,7.136498,5.068528,22.308741
2016-04-01 07:00:00,6.982378,3.1655431,6.4786837,2.5540749,19.1806797
2016-04-01 08:00:00,3.2354999,6.403458,6.734521,2.69372,19.0671989
2016-04-01 09:00:00,2.8483554,4.948069,2.9935692,4.7860472,15.5760408
2016-04-01 10:00:00,2.8439356,2.903838,3.22775,3.53464962,12.51017322
2016-04-01 11:00:00,2.5253981,3.533514,2.776755,8.070391,16.9060581
2016-04-01 12:00:00,2.7030668,2.4623331,3.519434,6.2554455,14.9402794
2016-04-01 13:00:00,4.7976855,3.3172717,4.9938647,5.13402908,18.24285098
2016-04-01 14:00:00,4.3090009,3.9500787,5.2160878,3.8238628,17.2990302
2016-04-01 15:00:00,5.613766,3.1333232,1.7715616,3.3122631,13.8309139
2016-04-01 16:00:00,12.128415,4.8514,3.399223,1.4753771,21.8544151
2016-04-01 17:00:00,5.796429,6.117448,5.786399,4.6495223,22.3497983
2016-04-01 18:00:00,21.5837065,3.1057994,2.9776436,5.2190599,32.8862094
2016-04-01 19:00:00,4.0470368,2.23520205,5.5204053,5.403026,17.20567015
2016-04-01 20:00:00,7.9112537,5.7200365,4.79912686,3.13301733,21.56343439
2016-04-01 21:00:00,3.4253026,5.0178317,4.3571718,1.4694366,14.2697427
2016-04-01 22:00:00,3.766121,7.172603,5.0567247,4.2518462,20.2472949
2016-04-01 23:00:00,3.3276313,2.5618122,4.5238662,3.7477658,14.1610755
2016-04-02 01:00:00,3.071148,3.6068722,2.9510937,2.5068572,12.1359711
2016-04-02 02:00:00,3.5113294,3.2260072,2.8956598,3.492664,13.1256604
2016-04-02 03:00:00,10.308081,2.788878,7.3487309,57.9865686,78.4322585
2016-04-02 04:00:00,15.0321909,2.983741,3.332292,92.854827,114.2030509
2016-04-02 05:00:00,6.4568074,3.4122947,3.7963237,31.8749841,45.5404099
2016-04-02 06:00:00,3.9826002,3.68831914,5.8061488,3.730786,17.20785414
2016-04-02 07:00:00,4.5141156,4.2930538,7.3555917,5.6429608,21.8057219
2016-04-02 08:00:00,2.8738535,5.3279494,2.9591238,5.405374,16.5663007
2016-04-02 09:00:00,3.8104604,3.7200517,2.9032754,3.6729866,14.1067741
2016-04-02 10:00:00,41.3019988,4.479149,5.253661,3.7344837,54.7692925
2016-04-02 11:00:00,8.7860168,5.4184723,4.677331,5.8332143,24.7150344
2016-04-02 12:00:00,34.5419371,3.3165883,3.4275984,4.1887163,45.4748401
2016-04-02 13:00:00,6.580041,3.925106,2.1291437,5.2562746,17.8905653
2016-04-02 14:00:00,4.8267723,3.0429154,4.0647422,2.777115,14.7115449
2016-04-02 15:00:00,5.500229,4.415382,4.5364875,2.5920899,17.0441884
2016-04-02 16:00:00,3.701579,5.21606828,3.05311194,4.180665,16.15142422
2016-04-02 17:00:00,5.20673151,5.6775053,5.098363,2.9247577,18.90735751
2016-04-02 18:00:00,7.706451,3.5638388,3.29598056,3.7371225,18.30339286
2016-04-02 19:00:00,5.93224758,4.4449269,4.237576,5.2893591,19.90410958
2016-04-02 20:00:00,13.31779,1.9522545,2.4273244,2.6459809,20.3433498
2016-04-02 21:00:00,4.035297,3.3669176,3.230428,3.9698774,14.60252
2016-04-02 22:00:00,4.9583854,5.1354384,5.255884,7.945291,23.2949988
2016-04-02 23:00:00,5.3430093,2.3699713,5.6611345,2.548801,15.9229161
2016-04-03 00:00:00,7.6716575,4.14816381,3.727145,45.5237633,61.07072961
2016-04-03 01:00:00,3.9748839,3.3267699,3.2852267,4.2438547,14.8307352
2016-04-03 02:00:00,3.5181434,5.37550745,3.5404278,3.781904,16.21598265
2016-04-03 03:00:00,3.5735937,3.63864456,6.9684618,1.9278961,16.10859616
2016-04-03 04:00:00,3.3966743,4.8730684,3.7935529,4.19182,16.2551156
2016-04-03 05:00:00,4.36932243,4.533034,3.827158,5.212068,17.94158243
2016-04-03 06:00:00,7.189923,3.4391585,3.0794365,3.3285105,17.0370285
2016-04-03 07:00:00,4.8098808,3.408792,1.9321721,3.4472888,13.5981337
2016-04-03 08:00:00,3.261336,4.3780883,2.2814516,2.28480288,12.20567878
2016-04-03 09:00:00,4.729502,3.341335,4.4887778,3.696082,16.2556968
2016-04-03 10:00:00,4.2286369,2.7582068,6.123159,5.4163346,18.5263373
2016-04-03 11:00:00,3.410875,3.3282276,3.7807498,6.71436624,17.23421864
2016-04-03 12:00:00,3.920379,5.6357617,3.6683799,6.4884293,19.7129499
2016-04-03 13:00:00,2.6536417,4.104544,5.2090784,6.0919025,18.0591666
2016-04-03 14:00:00,2.7832706,5.503727,2.8750994,3.67772028,14.83981728
2016-04-03 15:00:00,3.5103403,2.65059725,4.31178337,4.7552603,15.22798122
2016-04-03 16:00:00,3.687071,3.4206064,6.1357553,2.556174,15.7996067
2016-04-03 17:00:00,5.576221,3.6075765,7.0181409,5.1506443,21.3525827
2016-04-03 18:00:00,5.9194183,2.6326453,5.39921378,4.9761177,18.92739508
2016-04-03 19:00:00,2.8346466,3.95882658,7.6446256,5.802674,20.24077278
2016-04-03 20:00:00,4.01422716,4.0430548,8.4027985,3.84410906,20.30418952
2016-04-03 21:00:00,4.26388,5.15204203,10.95648853,7.36814,27.74055056
2016-04-03 22:00:00,2.0635092,3.5143149,9.9152899,5.5109234,21.0040374
2016-04-03 23:00:00,2.618324,6.596748,8.25440114,3.27807885,20.74755199
2016-04-04 00:00:00,3.7828914,6.5482576,10.48271353,3.7314662,24.54532873
2016-04-04 01:00:00,4.65240149,7.9750037,7.246798,3.0786241,22.95282729
2016-04-04 02:00:00,2.3429763,4.499013,4.1787858,4.0127791,15.0335542
2016-04-04 03:00:00,3.3499719,4.0236169,3.418734,2.94798,13.7403028
2016-04-04 04:00:00,1.5853857,4.8082323,3.091512,4.549496,14.034626
2016-04-04 05:00:00,2.8640811,6.50542528,2.2215642,3.452199,15.04326958
2016-04-04 06:00:00,3.5743646,5.107832,8.7904228,2.5258292,19.9984486
2016-04-04 07:00:00,4.1647434,2.7631966,14.4331571,2.7579469,24.119044
2016-04-04 08:00:00,4.997117,2.5897397,11.1091915,2.626674,21.3227222
