date,chemical,monitor,reading,wind_direction,wind_speed,cum_sum,anomaly_count,dup_chem,dup_all,square_root,cube
4/1/2016 0:00,AGOC-3A,9,0.105787,190.5,4,0.105787,,,,0.325249135,0.001183851
4/1/2016 1:00,AGOC-3A,9,0.123042,194.7666667,4.333333333,0.228829,,,,0.350773431,0.001862774
4/1/2016 2:00,AGOC-3A,9,0.0656916,199.0333333,4.666666667,0.2945206,,,,0.256303726,0.000283485
4/1/2016 3:00,AGOC-3A,9,0.198875,203.3,5,0.4933956,,,,0.445954034,0.007865758
4/1/2016 4:00,AGOC-3A,9,0.25342,202.5666667,5.066666667,0.7468156,,,,0.503408383,0.016275062
4/1/2016 5:00,AGOC-3A,9,0.0318543,201.8333333,5.133333333,0.7786699,,,,0.17847773,3.23E-05
4/1/2016 6:00,AGOC-3A,9,0.361752,201.1,5.2,1.1404219,,,,0.601458228,0.047340498
4/1/2016 7:00,AGOC-3A,9,0.0320344,202.3666667,4.833333333,1.1724563,,,,0.178981563,3.29E-05
4/1/2016 8:00,AGOC-3A,9,0.0810158,203.6333333,4.466666667,1.2534721,,,,0.284632746,0.000531752
4/1/2016 9:00,AGOC-3A,9,0.230418,204.9,4.1,1.4838901,,,,0.48001875,0.012233457
4/1/2016 10:00,AGOC-3A,9,0.271139,205.6,3.933333333,1.7550291,,,,0.520710092,0.019933152
4/1/2016 11:00,AGOC-3A,9,0.502717,206.3,3.766666667,2.2577461,,,,0.709025387,0.127048843
4/1/2016 12:00,AGOC-3A,9,0.0870258,207,3.6,2.3447719,,,,0.295001356,0.000659089
4/1/2016 13:00,AGOC-3A,9,0.13544,207.0333333,3.4,2.4802119,,,,0.368021738,0.00248451
4/1/2016 14:00,AGOC-3A,9,0.542312,207.0666667,3.2,3.0225239,,,,0.736418359,0.159495209
4/1/2016 15:00,AGOC-3A,9,0.173323,207.1,3,3.1958469,,,,0.41632079,0.005206772
4/1/2016 16:00,AGOC-3A,9,2.09702,219.3333333,2.633333333,5.2928669,,,,1.448109112,9.22163052
4/1/2016 17:00,AGOC-3A,9,0.256789,231.5666667,2.266666667,5.5496559,,,,0.506743525,0.016932818
4/1/2016 18:00,AGOC-3A,9,16.00594,243.8,1.9,21.5555959,a,,,4.000742431,4100.563614
4/1/2016 18:00,AGOC-3A,9,1.72463,243.8,1.9,23.2802259,,,,1.31325169,5.12965089
4/1/2016 19:00,AGOC-3A,9,0.0810708,249.9,2.233333333,23.3612967,,,,0.284729345,0.000532836
4/1/2016 20:00,AGOC-3A,9,0.235318,256,2.566666667,23.5966147,,,,0.485095867,0.013030631
4/1/2016 21:00,AGOC-3A,9,0.195524,262.1,2.9,23.7921387,,,,0.442180958,0.007474811
4/1/2016 22:00,AGOC-3A,9,0.238391,264.04,2.88,24.0305297,,,,0.488253008,0.013547825
4/1/2016 23:00,AGOC-3A,9,0.0760482,265.98,2.86,24.1065779,,,,0.275768381,0.000439812
4/2/2016 0:00,AGOC-3A,9,,0,0,24.1065779,,,,,
4/2/2016 1:00,AGOC-3A,9,0.226894,267.92,2.84,24.3334719,,,,0.476333916,0.011680704
4/2/2016 2:00,AGOC-3A,9,0.208992,269.86,2.82,24.5424639,,,,0.457156428,0.009128281
4/2/2016 3:00,AGOC-3A,9,0.202456,271.8,2.8,24.7449199,,,,0.449951108,0.008298354
4/2/2016 4:00,AGOC-3A,9,0.261617,274.4666667,2.366666667,25.0065369,,,,0.511485093,0.017905971
4/2/2016 5:00,AGOC-3A,9,0.222823,277.1333333,1.933333333,25.2293599,,,,0.472041312,0.011063182
4/2/2016 6:00,AGOC-3A,9,0.25848,279.8,1.5,25.4878399,,,,0.508409284,0.017269543
4/2/2016 7:00,AGOC-3A,9,0.0427897,277.3,1.433333333,25.5306296,,,,0.206856714,7.83E-05
4/2/2016 8:00,AGOC-3A,9,0.243255,274.8,1.366666667,25.7738846,,,,0.493208881,0.014394127
4/2/2016 9:00,AGOC-3A,9,0.128814,272.3,1.3,25.9026986,,,,0.358906673,0.002137417
4/2/2016 10:00,AGOC-3A,9,0.0625412,249.3,1.3,25.9652398,,,,0.250082386,0.000244624
4/2/2016 11:00,AGOC-3A,9,0.111071,226.3,1.3,26.0763108,,,,0.333273161,0.001370257
4/2/2016 12:00,AGOC-3A,9,10.59351,203.3,1.3,36.6698208,a,,,3.254767273,1188.82969
4/2/2016 12:00,AGOC-3A,9,3.48706,203.3,1.3,40.1568808,,,,1.86736713,42.40121099
4/2/2016 13:00,AGOC-3A,9,0.178131,198.4,1.566666667,40.3350118,,,,0.422055684,0.005652213
4/2/2016 14:00,AGOC-3A,9,0.220299,193.5,1.833333333,40.5553108,,,,0.469360203,0.010691474
4/2/2016 15:00,AGOC-3A,9,0.576609,188.6,2.1,41.1319198,,,,0.759347746,0.191709772
4/2/2016 16:00,AGOC-3A,9,0.346474,192.3666667,2.3,41.4783938,,,,0.588620421,0.041592205
4/2/2016 17:00,AGOC-3A,9,0.00373241,196.1333333,2.5,41.48212621,,,,0.061093453,5.20E-08
4/2/2016 18:00,AGOC-3A,9,0.159166,199.9,2.7,41.64129221,,,,0.398956138,0.004032282
4/2/2016 19:00,AGOC-3A,9,0.118592,208.2666667,2.666666667,41.75988421,,,,0.344371892,0.001667885
4/2/2016 20:00,AGOC-3A,9,0.77341,216.6333333,2.633333333,42.53329421,,,,0.87943732,0.462625268
4/2/2016 21:00,AGOC-3A,9,0.307118,225,2.6,42.84041221,,,,0.55418228,0.02896782
4/2/2016 22:00,AGOC-3A,9,0.738121,241.5666667,2.666666667,43.57853321,,,,0.859139686,0.40214501
4/2/2016 23:00,AGOC-3A,9,0.400168,258.1333333,2.733333333,43.97870121,,,,0.632588334,0.064080674
4/3/2016 0:00,AGOC-3A,9,0.0787807,274.7,2.8,44.05748191,,,,0.280678998,0.000488944
4/3/2016 1:00,AGOC-3A,9,0.426835,282.7666667,2.6,44.48431691,,,,0.653326105,0.077764265
4/3/2016 2:00,AGOC-3A,9,0.104777,290.8333333,2.4,44.58909391,,,,0.323692756,0.001150265
4/3/2016 3:00,AGOC-3A,9,0.0235253,298.9,2.2,44.61261921,,,,0.153379594,1.30E-05
4/3/2016 4:00,AGOC-3A,9,0.210493,304.9,2.166666667,44.82311221,,,,0.458795161,0.009326377
4/3/2016 5:00,AGOC-3A,9,0.402658,310.9,2.133333333,45.22577021,,,,0.634553386,0.065284337
4/3/2016 6:00,AGOC-3A,9,0.0698518,316.9,2.1,45.29562201,,,,0.264294911,0.000340826
4/3/2016 7:00,AGOC-3A,9,0.225674,320.7,2.633333333,45.52129601,,,,0.475051576,0.011493296
4/3/2016 8:00,AGOC-3A,9,0.484689,324.5,3.166666667,46.00598501,,,,0.696196093,0.113864801
4/3/2016 9:00,AGOC-3A,9,0.101007,328.3,3.7,46.10699201,,,,0.317815984,0.001030515
4/3/2016 10:00,AGOC-3A,9,0.430422,327.1333333,3.9,46.53741401,,,,0.656065546,0.079741313
4/3/2016 11:00,AGOC-3A,9,0.286789,325.9666667,4.1,46.82420301,,,,0.535526843,0.023587802
4/3/2016 12:00,AGOC-3A,9,0.320784,324.8,4.3,47.14498701,,,,0.566377966,0.033009435
4/3/2016 13:00,AGOC-3A,9,0.246317,320.9,4.4,47.39130401,,,,0.496303335,0.014944561
4/3/2016 14:00,AGOC-3A,9,0.482308,317,4.5,47.87361201,,,,0.694483981,0.112194973
4/3/2016 15:00,AGOC-3A,9,0.595194,313.1,4.6,48.46880601,,,,0.771488172,0.210850985
4/3/2016 16:00,AGOC-3A,9,0.34937,307.1333333,4.8,48.81817601,,,,0.591075291,0.042643891
4/3/2016 17:00,AGOC-3A,9,0.34814,301.1666667,5,49.16631601,,,,0.590033897,0.042195076
4/3/2016 18:00,AGOC-3A,9,0.297044,295.2,5.2,49.46336001,,,,0.545017431,0.026209718
4/3/2016 19:00,AGOC-3A,9,0.325215,295.6,5.333333333,49.78857501,,,,0.570276249,0.034396298
4/3/2016 20:00,AGOC-3A,9,0.394959,296,5.466666667,50.18353401,,,,0.628457636,0.061610686
4/3/2016 21:00,AGOC-3A,9,0.378835,296.4,5.6,50.56236901,,,,0.615495735,0.054368868
4/3/2016 22:00,AGOC-3A,9,0.0262827,297.4,5.166666667,50.58865171,,,,0.1621194,1.82E-05
4/3/2016 23:00,AGOC-3A,9,0.0076813,298.4,4.733333333,50.59633301,,,,0.087643026,4.53E-07
4/4/2016 0:00,AGOC-3A,9,0.215353,299.4,4.3,50.81168601,,,,0.464061418,0.009987408
4/4/2016 1:00,AGOC-3A,9,0.304794,300.2666667,4.2,51.11648001,,,,0.552081516,0.028315174
4/4/2016 2:00,AGOC-3A,9,0.774233,301.1333333,4.1,51.89071301,,,,0.879905109,0.464103704
4/4/2016 3:00,AGOC-3A,9,0.200008,302,4,52.09072101,,,,0.44722254,0.00800096
4/4/2016 4:00,AGOC-3A,9,0.129228,299.9,3.333333333,52.21994901,,,,0.359482962,0.002158092
4/4/2016 5:00,AGOC-3A,9,0.219361,297.8,2.666666667,52.43931001,,,,0.468359904,0.010555486
4/4/2016 6:00,AGOC-3A,9,0.545601,295.7,2,52.98491101,,,,0.738648089,0.162414752
4/4/2016 7:00,AGOC-3A,9,0.0723374,294.5,1.8,53.05724841,,,,0.26895613,0.00037852
4/4/2016 8:00,AGOC-3A,9,0.231579,293.3,1.6,53.28882741,,,,0.481226558,0.012419312
4/4/2016 9:00,AGOC-3A,9,0.305989,292.1,1.4,53.59481641,,,,0.553162725,0.028649526
4/4/2016 10:00,AGOC-3A,9,0.313603,292.2333333,1.4,53.90841941,,,,0.560002679,0.030841865
4/4/2016 11:00,AGOC-3A,9,0.0539056,292.3666667,1.4,53.96232501,,,,0.232175795,0.00015664
4/4/2016 12:00,AGOC-3A,9,0.118808,292.5,1.4,54.08113301,,,,0.344685364,0.001677015
4/4/2016 13:00,AGOC-3A,9,0.521528,303.6,1.2,54.60266101,,,,0.722168955,0.141851159
4/4/2016 14:00,AGOC-3A,9,0.0153902,314.7,1,54.61805121,,,,0.124057245,3.65E-06
4/4/2016 15:00,AGOC-3A,9,0.28149,325.8,0.8,54.89954121,,,,0.530556312,0.022304316
4/4/2016 16:00,AGOC-3A,9,0.445903,336.6666667,0.933333333,55.34544421,,,,0.667759687,0.088658664
4/4/2016 17:00,AGOC-3A,9,0.218485,347.5333333,1.066666667,55.56392921,,,,0.467423791,0.010429533
4/4/2016 18:00,AGOC-3A,9,0.148401,358.4,1.2,55.71233021,,,,0.385228504,0.003268214
