,date,Methylosmolene,Chlorodinine,AGOC_3A,Appluimonia,Methylosmolene_anamoly,Chlorodinine_anamoly,AGOC_anamoly,Appluimonia_anamoly,Methylosmolene_cum_sum,Chlorodinine_cum_sum,AGOC_3A_cum_sum,Appluimonia_cum_sum,Methylosmolene_cube,Chlorodinine_cube,AGOC_3A_cube,Appluimonia_cube,Methylosmolene_square_root,Chlorodinine_square_root,AGOC_3A_square_root,Appluimonia_square_root
0,2016-04-01 00:00:00,0.456104,0.225446,0.438723,0.502186,0.0,0.0,0.0,0.0,0.456104,0.225446,0.438723,0.502186,0.0948837068,0.0114584956,0.0844444689,0.1266466783,0.6753547216,0.47481154159999994,0.6623616836999999,0.7086508308
1,2016-04-01 01:00:00,0.27210500000000004,0.708372,0.535,0.5658449999999999,0.0,0.0,0.0,0.0,0.728209,0.933818,0.973723,1.068031,0.020146962,0.35545461659999994,0.153130375,0.1811725713,0.5216368469,0.8416483826000001,0.7314369419000001,0.7522266945999999
2,2016-04-01 02:00:00,0.244736,0.386579,0.437709,0.188443,0.0,0.0,0.0,0.0,0.9729450000000001,1.320397,1.411432,1.256474,0.0146586364,0.0577716505,0.0838603034,0.0066917549,0.4947079947,0.6217547748000001,0.6615957981,0.43410021880000005
3,2016-04-01 03:00:00,0.69419,0.65151,0.363091,0.47116499999999994,0.0,0.0,0.0,0.0,1.6671349999999998,1.971907,1.774523,1.727639,0.33452999170000003,0.2765433746,0.047868129,0.1045969608,0.8331806527000001,0.8071616937999999,0.6025703278,0.6864145976999999
4,2016-04-01 04:00:00,0.08993689999999999,0.320612,0.5237470000000001,0.129247,0.0,0.0,0.0,0.0,1.7570718999999997,2.292519,2.29827,1.856886,0.0007274677,0.032956366200000003,0.1436695214,0.0021590436,0.29989481490000003,0.5662261032,0.7237036686,0.35950938790000003
5,2016-04-01 05:00:00,0.00622426,0.6497970000000001,1.0318399999999999,0.42138400000000004,0.0,0.0,0.0,0.0,1.76329616,2.942316,3.33011,2.27827,2.411e-07,0.2743677778,1.0985936357,0.0748228289,0.0788939795,0.8060998697,1.015795255,0.6491409708
6,2016-04-01 06:00:00,0.673679,0.6811119999999999,0.348775,0.225316,0.0,0.0,0.0,0.0,2.4369751600000003,3.623428,3.6788849999999997,2.503586,0.3057447645,0.3159770903,0.0424263863,0.0114386849,0.8207795075000001,0.8252950987000001,0.5905717569,0.4746746254
7,2016-04-01 07:00:00,0.0330591,0.946475,1.02109,0.42108100000000004,0.0,0.0,0.0,0.0,2.4700342600000003,4.569903,4.699975,2.924667,3.61304e-05,0.8478664317,1.0646137449,0.07466153889999999,0.1818216159,0.9728694670999999,1.0104899802,0.6489075435
8,2016-04-01 08:00:00,0.024255000000000002,0.521053,0.013373500000000002,1.23009,0.0,0.0,0.0,0.0,2.49428926,5.090955999999999,4.7133485,4.154757,1.42693e-05,0.1414639245,2.3919e-06,1.8612755129,0.1557401682,0.72184001,0.1156438498,1.109094225
9,2016-04-01 09:00:00,0.304597,0.09488339999999999,0.307569,0.451534,0.0,0.0,0.0,0.0,2.79888626,5.1858394,5.0209175,4.6062910000000015,0.0282603063,0.0008542219,0.0290956244,0.0920600854,0.5519030711999999,0.3080314919,0.5545890370000001,0.6719627965999999
