,date,Methylosmolene,Chlorodinine,AGOC_3A,Appluimonia,Methylosmolene_anamoly,Chlorodinine_anamoly,AGOC_anamoly,Appluimonia_anamoly
0,2016-04-01 00:00:00,0.456104,0.225446,0.438723,0.502186,0.0,0.0,0.0,0.0
1,2016-04-01 01:00:00,0.27210500000000004,0.708372,0.535,0.5658449999999999,0.0,0.0,0.0,0.0
2,2016-04-01 02:00:00,0.244736,0.386579,0.437709,0.188443,0.0,0.0,0.0,0.0
3,2016-04-01 03:00:00,0.69419,0.65151,0.363091,0.471165,0.0,0.0,0.0,0.0
4,2016-04-01 04:00:00,0.08993689999999999,0.320612,0.5237470000000001,0.129247,0.0,0.0,0.0,0.0
5,2016-04-01 05:00:00,0.00622426,0.6497970000000001,1.03184,0.421384,0.0,0.0,0.0,0.0
6,2016-04-01 06:00:00,0.673679,0.6811119999999999,0.348775,0.225316,0.0,0.0,0.0,0.0
7,2016-04-01 07:00:00,0.0330591,0.946475,1.02109,0.421081,0.0,0.0,0.0,0.0
8,2016-04-01 08:00:00,0.024255,0.521053,0.013373500000000002,1.23009,0.0,0.0,0.0,0.0
9,2016-04-01 09:00:00,0.304597,0.0948834,0.307569,0.451534,0.0,0.0,0.0,0.0
10,2016-04-01 10:00:00,0.756304,0.726825,0.24401,0.183642,0.0,0.0,0.0,0.0
11,2016-04-01 11:00:00,0.8733700000000001,0.16321,0.0666572,0.7821199999999999,0.0,0.0,0.0,0.0
12,2016-04-01 12:00:00,0.07848630000000001,0.275282,0.189639,0.555826,0.0,0.0,0.0,0.0
13,2016-04-01 13:00:00,0.742678,0.8857370000000001,0.170308,0.5898979999999999,0.0,0.0,0.0,0.0
14,2016-04-01 14:00:00,0.7878569999999999,0.440045,0.0140477,0.08135369999999999,0.0,0.0,0.0,0.0
15,2016-04-01 15:00:00,0.0120941,0.272041,0.5317649999999999,0.447587,0.0,0.0,0.0,0.0
16,2016-04-01 16:00:00,0.32718600000000003,0.286071,0.313985,1.15018,0.0,0.0,0.0,0.0
17,2016-04-01 17:00:00,0.902336,0.707549,0.1864,0.5083949999999999,0.0,0.0,0.0,0.0
18,2016-04-01 18:00:00,1.29304,0.220958,0.217943,0.0192309,0.0,0.0,0.0,0.0
19,2016-04-01 19:00:00,0.543812,0.374754,0.374478,0.439922,0.0,0.0,0.0,0.0
20,2016-04-01 20:00:00,0.25033,0.42123,0.546361,0.302518,0.0,0.0,0.0,0.0
21,2016-04-01 21:00:00,0.0337119,0.7879550000000001,0.544171,0.913925,0.0,0.0,0.0,0.0
22,2016-04-01 22:00:00,0.340092,0.384742,0.245395,0.708784,0.0,0.0,0.0,0.0
23,2016-04-01 23:00:00,0.358232,0.0838678,0.596431,0.0637086,0.0,0.0,0.0,0.0
24,2016-04-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2016-04-02 01:00:00,0.173624,0.0401327,0.4532310000000001,0.0130088,0.0,0.0,0.0,0.0
26,2016-04-02 02:00:00,0.125315,0.175599,0.280483,0.0146286,0.0,0.0,0.0,0.0
27,2016-04-02 03:00:00,0.379781,1.14841,0.408522,0.25550900000000004,0.0,0.0,0.0,0.0
28,2016-04-02 04:00:00,0.323699,0.0792467,1.03237,0.593399,0.0,0.0,0.0,0.0
29,2016-04-02 05:00:00,0.257004,0.257363,0.687612,0.144788,0.0,0.0,0.0,0.0
30,2016-04-02 06:00:00,0.902268,0.06853530000000001,0.670516,0.172941,0.0,0.0,0.0,0.0
