,date,Methylosmolene,Chlorodinine,AGOC_3A,Appluimonia,Methylosmolene_anamoly,Chlorodinine_anamoly,AGOC_anamoly,Appluimonia_anamoly
0,2016-04-01 00:00:00,0.144993,0.197804,0.105787,0.272886,0.0,0.0,0.0,0.0
1,2016-04-01 01:00:00,0.186488,0.345217,0.123042,0.131138,0.0,0.0,0.0,0.0
2,2016-04-01 02:00:00,0.634746,0.165901,0.0656916,0.0430606,0.0,0.0,0.0,0.0
3,2016-04-01 03:00:00,0.486087,0.51323,0.198875,0.378197,0.0,0.0,0.0,0.0
4,2016-04-01 04:00:00,0.0559182,0.127112,0.25342,0.734143,0.0,0.0,0.0,0.0
5,2016-04-01 05:00:00,0.367007,0.378493,0.0318543,0.25356300000000004,0.0,0.0,0.0,0.0
6,2016-04-01 06:00:00,0.148385,0.590046,0.361752,0.0848154,0.0,0.0,0.0,0.0
7,2016-04-01 07:00:00,0.268067,0.213374,0.0320344,0.268262,0.0,0.0,0.0,0.0
8,2016-04-01 08:00:00,0.263384,0.331285,0.0810158,0.419446,0.0,0.0,0.0,0.0
9,2016-04-01 09:00:00,0.126885,0.10603,0.230418,0.37218,0.0,0.0,0.0,0.0
10,2016-04-01 10:00:00,0.337672,0.057487,0.271139,0.304952,0.0,0.0,0.0,0.0
11,2016-04-01 11:00:00,0.773302,0.241334,0.502717,0.120384,0.0,0.0,0.0,0.0
12,2016-04-01 12:00:00,0.0730682,0.192999,0.0870258,0.236189,0.0,0.0,0.0,0.0
13,2016-04-01 13:00:00,0.206465,0.015937200000000002,0.13544,0.0456287,0.0,0.0,0.0,0.0
14,2016-04-01 14:00:00,0.209022,0.248804,0.542312,0.229613,0.0,0.0,0.0,0.0
15,2016-04-01 15:00:00,0.333781,0.148777,0.173323,0.298941,0.0,0.0,0.0,0.0
16,2016-04-01 16:00:00,0.0958897,0.212546,2.09702,0.402606,0.0,0.0,0.0,0.0
17,2016-04-01 17:00:00,0.209819,0.371361,0.256789,0.6213069999999999,0.0,0.0,0.0,0.0
18,2016-04-01 18:00:00,0.286185,0.4920600000000001,16.00594,0.245768,0.0,0.0,1.0,0.0
19,2016-04-01 19:00:00,0.382772,0.346534,0.08107080000000001,0.0599954,0.0,0.0,0.0,0.0
20,2016-04-01 20:00:00,0.269983,0.236594,0.235318,0.368791,0.0,0.0,0.0,0.0
21,2016-04-01 21:00:00,0.007471200000000002,0.0997598,0.195524,0.320522,0.0,0.0,0.0,0.0
22,2016-04-01 22:00:00,0.0611038,0.0650277,0.238391,0.100193,0.0,0.0,0.0,0.0
23,2016-04-01 23:00:00,0.601304,0.297112,0.0760482,0.101802,0.0,0.0,0.0,0.0
24,2016-04-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2016-04-02 01:00:00,0.150565,0.492443,0.226894,0.448134,0.0,0.0,0.0,0.0
26,2016-04-02 02:00:00,0.105581,0.212025,0.208992,0.0415783,0.0,0.0,0.0,0.0
27,2016-04-02 03:00:00,0.0267766,0.185598,0.202456,0.205532,0.0,0.0,0.0,0.0
28,2016-04-02 04:00:00,0.171206,0.454984,0.261617,0.216909,0.0,0.0,0.0,0.0
29,2016-04-02 05:00:00,0.246884,0.252675,0.222823,0.287092,0.0,0.0,0.0,0.0
30,2016-04-02 06:00:00,0.309545,0.0981315,0.25848000000000004,0.546353,0.0,0.0,0.0,0.0
31,2016-04-02 07:00:00,0.207996,0.0540256,0.0427897,0.458859,0.0,0.0,0.0,0.0
32,2016-04-02 08:00:00,0.20795,0.379865,0.24325500000000005,0.182943,0.0,0.0,0.0,0.0
33,2016-04-02 09:00:00,0.298319,0.174835,0.128814,0.147594,0.0,0.0,0.0,0.0
34,2016-04-02 10:00:00,0.14608800000000002,0.162519,0.06254119999999999,0.406817,0.0,0.0,0.0,0.0
35,2016-04-02 11:00:00,0.258256,0.105239,0.111071,0.31703600000000004,0.0,0.0,0.0,0.0
36,2016-04-02 12:00:00,0.427944,0.0827827,10.59351,0.06543330000000001,0.0,0.0,1.0,0.0
37,2016-04-02 13:00:00,0.0846306,0.0830369,0.17813099999999998,0.300223,0.0,0.0,0.0,0.0
38,2016-04-02 14:00:00,0.184064,0.0859592,0.220299,0.354268,0.0,0.0,0.0,0.0
39,2016-04-02 15:00:00,0.116773,0.0265757,0.576609,0.130147,0.0,0.0,0.0,0.0
40,2016-04-02 16:00:00,0.397933,0.297371,0.346474,0.00749758,0.0,0.0,0.0,0.0
41,2016-04-02 17:00:00,0.305937,0.691258,0.00373241,0.016926300000000002,0.0,0.0,0.0,0.0
42,2016-04-02 18:00:00,0.0545021,0.260527,1.72463,0.0764745,0.0,0.0,0.0,0.0
43,2016-04-02 19:00:00,0.211611,0.591179,0.118592,0.265196,0.0,0.0,0.0,0.0
44,2016-04-02 20:00:00,0.313927,0.035487300000000006,0.77341,0.112403,0.0,0.0,0.0,0.0
45,2016-04-02 21:00:00,0.270488,0.307577,0.307118,0.479843,0.0,0.0,0.0,0.0
46,2016-04-02 22:00:00,4.90566,0.451809,0.738121,0.07242280000000001,1.0,0.0,0.0,0.0
47,2016-04-02 23:00:00,0.13308299999999998,0.227866,0.400168,0.06418330000000001,0.0,0.0,0.0,0.0
48,2016-04-03 00:00:00,0.306977,0.181853,0.0787807,0.14494500000000002,0.0,0.0,0.0,0.0
49,2016-04-03 01:00:00,0.345097,0.4216430000000001,0.426835,0.16651400000000002,0.0,0.0,0.0,0.0
50,2016-04-03 02:00:00,0.117344,0.035456800000000004,0.104777,0.437457,0.0,0.0,0.0,0.0
51,2016-04-03 03:00:00,0.0637595,0.321017,0.0235253,0.30504000000000003,0.0,0.0,0.0,0.0
